"Kod";"Nazwa";"ogółem;ogółem;2023;[osoba]";
0606052;"Krasnystaw (2)";8103;
0606062;"Kraśniczyn (2)";3433;
0606072;"Łopiennik Górny (2)";3585;
0606092;"Rudnik (2)";2697;
0606102;"Siennica Różana (2)";3750;
0606112;"Żółkiewka (2)";4799;
0607000;"Powiat kraśnicki";89215;
0607011;"Kraśnik (1)";31296;
0607023;"Annopol (3)";7969;
0607024;"Annopol - miasto (4)";2300;
0607025;"Annopol - obszar wiejski (5)";5669;
0607032;"Dzierzkowice (2)";5229;
0607042;"Gościeradów (2)";6799;
0607052;"Kraśnik (2)";7008;
0607062;"Szastarka (2)";5416;
0607072;"Trzydnik Duży (2)";5915;
0607083;"Urzędów (3)";8172;
0607084;"Urzędów - miasto (4)";1708;
0607085;"Urzędów - obszar wiejski (5)";6464;
0607092;"Wilkołaz (2)";5315;
0607102;"Zakrzówek (2)";6096;
0608000;"Powiat lubartowski";83975;
0608011;"Lubartów (1)";19734;
0608022;"Abramów (2)";3828;
0608032;"Firlej (2)";5642;
0608042;"Jeziorzany (2)";2462;
0608053;"Kamionka (3)";6486;
0608054;"Kamionka - miasto (4)";1714;
0608055;"Kamionka - obszar wiejski (5)";4772;
0608063;"Kock (3)";5679;
0608064;"Kock - miasto (4)";2870;
0608065;"Kock - obszar wiejski (5)";2809;
0608072;"Lubartów (2)";12137;
0608082;"Michów (2)";5439;
0608092;"Niedźwiada (2)";6186;
0608103;"Ostrów Lubelski (3)";4942;
0608104;"Ostrów Lubelski - miasto (4)";1964;
0608105;"Ostrów Lubelski - obszar wiejski (5)";2978;
0608112;"Ostrówek (2)";3687;
0608122;"Serniki (2)";4789;
0608132;"Uścimów (2)";2964;
0609000;"Powiat lubelski";164469;
0609013;"Bełżyce (3)";12699;
0609014;"Bełżyce - miasto (4)";5936;
0609015;"Bełżyce - obszar wiejski (5)";6763;
0609022;"Borzechów (2)";3734;
0609033;"Bychawa (3)";10863;
0609034;"Bychawa - miasto (4)";4476;
0609035;"Bychawa - obszar wiejski (5)";6387;
0609042;"Garbów (2)";8964;
0609052;"Głusk (2)";14879;
0609062;"Jabłonna (2)";8323;
0609072;"Jastków (2)";15516;
0609082;"Konopnica (2)";15968;
0609092;"Krzczonów (2)";4073;
0609102;"Niedrzwica Duża (2)";12040;
0609112;"Niemce (2)";22039;
0609122;"Strzyżewice (2)";8164;
0609132;"Wojciechów (2)";6021;
0609142;"Wólka (2)";14460;
0609152;"Wysokie (2)";4081;
0609162;"Zakrzew (2)";2645;
0610000;"Powiat łęczyński";55721;
0610012;"Cyców (2)";7694;
0610022;"Ludwin (2)";5608;
0610033;"Łęczna (3)";22368;
0610034;"Łęczna - miasto (4)";17665;
0610035;"Łęczna - obszar wiejski (5)";4703;
0610042;"Milejów (2)";8577;
0610052;"Puchaczów (2)";5530;
0610062;"Spiczyn (2)";5944;
0611000;"Powiat łukowski";100959;
0611011;"Łuków (1)";27159;
0611021;"Stoczek Łukowski (1)";2362;
0611032;"Adamów (2)";5116;
0611042;"Krzywda (2)";9766;
0611052;"Łuków (2)";18550;
0611062;"Serokomla (2)";3677;
0611072;"Stanin (2)";9199;
0611082;"Stoczek Łukowski (2)";7202;
0611092;"Trzebieszów (2)";7081;
0611102;"Wojcieszków (2)";6483;
0611112;"Wola Mysłowska (2)";4364;
0612000;"Powiat opolski";55650;
0612012;"Chodel (2)";6286;
0612023;"Józefów nad Wisłą (3)";6021;
0612024;"Józefów nad Wisłą - miasto (4)";803;
0612025;"Józefów nad Wisłą - obszar wiejski (5)";5218;
0612032;"Karczmiska (2)";5320;
0612042;"Łaziska (2)";4547;
0612053;"Opole Lubelskie (3)";16189;
0612054;"Opole Lubelskie - miasto (4)";7864;
0612055;"Opole Lubelskie - obszar wiejski (5)";8325;
0612063;"Poniatowa (3)";13133;
0612064;"Poniatowa - miasto (4)";8246;
0612065;"Poniatowa - obszar wiejski (5)";4887;
0612072;"Wilków (2)";4154;
0613000;"Powiat parczewski";32223;
0613012;"Dębowa Kłoda (2)";3584;
0613022;"Jabłoń (2)";3523;
0613032;"Milanów (2)";3369;
0613043;"Parczew (3)";13702;
0613044;"Parczew - miasto (4)";10185;
0613045;"Parczew - obszar wiejski (5)";3517;
0613052;"Podedwórze (2)";1497;
0613062;"Siemień (2)";4281;
0613072;"Sosnowica (2)";2267;
0614000;"Powiat puławski";107020;
0614011;"Puławy (1)";43860;
0614022;"Baranów (2)";3557;
0614032;"Janowiec (2)";3560;
0614043;"Kazimierz Dolny (3)";6289;
0614044;"Kazimierz Dolny - miasto (4)";3239;
0614045;"Kazimierz Dolny - obszar wiejski (5)";3050;
0614052;"Końskowola (2)";8376;
0614062;"Kurów (2)";7376;
0614072;"Markuszów (2)";2880;
0614083;"Nałęczów (3)";8604;
0614084;"Nałęczów - miasto (4)";3611;
0614085;"Nałęczów - obszar wiejski (5)";4993;
0614092;"Puławy (2)";12222;
0614102;"Wąwolnica (2)";4205;
0614112;"Żyrzyn (2)";6091;
0615000;"Powiat radzyński";55021;
0615011;"Radzyń Podlaski (1)";14293;
0615022;"Borki (2)";5734;
0615032;"Czemierniki (2)";4033;
0615042;"Kąkolewnica (2)";7547;
0615052;"Komarówka Podlaska (2)";3809;
0615062;"Radzyń Podlaski (2)";7899;
0615072;"Ulan-Majorat (2)";5523;
0615082;"Wohyń (2)";6183;
0616000;"Powiat rycki";51557;
0616011;"Dęblin (1)";14132;
0616022;"Kłoczew (2)";6815;
0616032;"Nowodwór (2)";3891;
0616043;"Ryki (3)";19139;
0616044;"Ryki - miasto (4)";8985;
0616045;"Ryki - obszar wiejski (5)";10154;
0616052;"Stężyca (2)";4757;
0616062;"Ułęż (2)";2823;
0617000;"Powiat świdnicki";69274;
0617011;"Świdnik (1)";36680;
0617022;"Mełgiew (2)";10785;
0617033;"Piaski (3)";10201;
0617034;"Piaski - miasto (4)";2416;
0617035;"Piaski - obszar wiejski (5)";7785;
0617042;"Rybczewice (2)";3179;
0617052;"Trawniki (2)";8429;
0618000;"Powiat tomaszowski";77016;
0618011;"Tomaszów Lubelski (1)";17848;
0618022;"Bełżec (2)";3091;
0618032;"Jarczów (2)";3144;
0618042;"Krynice (2)";2974;
0618053;"Lubycza Królewska (3)";5552;
0618054;"Lubycza Królewska - miasto (4)";2142;
0618055;"Lubycza Królewska - obszar wiejski (5)";3410;
0618063;"Łaszczów (3)";5465;
0618064;"Łaszczów - miasto (4)";1961;
0618065;"Łaszczów - obszar wiejski (5)";3504;
0618072;"Rachanie (2)";4603;
0618082;"Susiec (2)";6929;
0618092;"Tarnawatka (2)";3764;
0618102;"Telatyn (2)";3500;
0618112;"Tomaszów Lubelski (2)";11108;
0618123;"Tyszowce (3)";5089;
0618124;"Tyszowce - miasto (4)";1821;
0618125;"Tyszowce - obszar wiejski (5)";3268;
0618132;"Ulhówek (2)";3949;
0619000;"Powiat włodawski";35399;
0619011;"Włodawa (1)";12123;
0619022;"Hanna (2)";2481;
0619032;"Hańsk (2)";3384;
0619042;"Stary Brus (2)";1808;
0619052;"Urszulin (2)";4073;
0619062;"Włodawa (2)";5719;
0619072;"Wola Uhruska (2)";3594;
0619082;"Wyryki (2)";2217;
0620000;"Powiat zamojski";100753;
0620012;"Adamów (2)";4414;
0620022;"Grabowiec (2)";3550;
0620032;"Komarów-Osada (2)";4422;
0620043;"Krasnobród (3)";6687;
0620044;"Krasnobród - miasto (4)";2967;
0620045;"Krasnobród - obszar wiejski (5)";3720;
0620052;"Łabunie (2)";5881;
0620062;"Miączyn (2)";5010;
0620072;"Nielisz (2)";5065;
0620082;"Radecznica (2)";5065;
0620092;"Sitno (2)";6529;
0620102;"Skierbieszów (2)";4715;
0620112;"Stary Zamość (2)";4803;
0620122;"Sułów (2)";4039;
0620133;"Szczebrzeszyn (3)";10528;
0620134;"Szczebrzeszyn - miasto (4)";4744;
0620135;"Szczebrzeszyn - obszar wiejski (5)";5784;
0620142;"Zamość (2)";23953;
0620153;"Zwierzyniec (3)";6092;
0620154;"Zwierzyniec - miasto (4)";2780;
0620155;"Zwierzyniec - obszar wiejski (5)";3312;
0661000;"Powiat m. Biała Podlaska";54453;
0661011;"Biała Podlaska (1)";54453;
0662000;"Powiat m. Chełm";57214;
0662011;"Chełm (1)";57214;
0663000;"Powiat m. Lublin";329565;
0663011;"Lublin (1)";329565;
0664000;"Powiat m. Zamość";58231;
0664011;"Zamość (1)";58231;
0800000;"LUBUSKIE";975023;
0801000;"Powiat gorzowski";73897;
0801011;"Kostrzyn nad Odrą (1)";17591;
0801022;"Bogdaniec (2)";7184;
0801032;"Deszczno (2)";10916;
0801042;"Kłodawa (2)";9335;
0801052;"Lubiszyn (2)";7156;
0801062;"Santok (2)";9570;
0801073;"Witnica (3)";12145;
0801074;"Witnica - miasto (4)";6434;
0801075;"Witnica - obszar wiejski (5)";5711;
0802000;"Powiat krośnieński";52717;
0802011;"Gubin (1)";15606;
0802022;"Bobrowice (2)";3033;
0802032;"Bytnica (2)";2286;
0802042;"Dąbie (2)";4920;
0802052;"Gubin (2)";7207;
0802063;"Krosno Odrzańskie (3)";16942;
0802064;"Krosno Odrzańskie - miasto (4)";10533;
0802065;"Krosno Odrzańskie - obszar wiejski (5)";6409;
0802072;"Maszewo (2)";2723;
0803000;"Powiat międzyrzecki";54839;
0803012;"Bledzew (2)";3894;
0803023;"Międzyrzecz (3)";23698;
0803024;"Międzyrzecz - miasto (4)";16831;
0803025;"Międzyrzecz - obszar wiejski (5)";6867;
0803032;"Przytoczna (2)";5331;
0803042;"Pszczew (2)";4173;
0803053;"Skwierzyna (3)";11513;
0803054;"Skwierzyna - miasto (4)";9078;
0803055;"Skwierzyna - obszar wiejski (5)";2435;
0803063;"Trzciel (3)";6230;
0803064;"Trzciel - miasto (4)";2221;
0803065;"Trzciel - obszar wiejski (5)";4009;
0804000;"Powiat nowosolski";82281;
0804011;"Nowa Sól (1)";36040;
0804023;"Bytom Odrzański (3)";5089;
0804024;"Bytom Odrzański - miasto (4)";3910;
0804025;"Bytom Odrzański - obszar wiejski (5)";1179;
0804032;"Kolsko (2)";3208;
0804043;"Kożuchów (3)";15223;
0804044;"Kożuchów - miasto (4)";8892;
0804045;"Kożuchów - obszar wiejski (5)";6331;
0804052;"Nowa Sól (2)";7328;
0804063;"Nowe Miasteczko (3)";5025;
0804064;"Nowe Miasteczko - miasto (4)";2636;
0804065;"Nowe Miasteczko - obszar wiejski (5)";2389;
0804073;"Otyń (3)";7049;
0804074;"Otyń - miasto (4)";1758;
0804075;"Otyń - obszar wiejski (5)";5291;
0804082;"Siedlisko (2)";3319;
0805000;"Powiat słubicki";45854;
0805013;"Cybinka (3)";6150;
0805014;"Cybinka - miasto (4)";2656;
0805015;"Cybinka - obszar wiejski (5)";3494;
0805022;"Górzyca (2)";4063;
0805033;"Ośno Lubuskie (3)";6167;
0805034;"Ośno Lubuskie - miasto (4)";3889;
0805035;"Ośno Lubuskie - obszar wiejski (5)";2278;
0805043;"Rzepin (3)";9437;
0805044;"Rzepin - miasto (4)";6404;
0805045;"Rzepin - obszar wiejski (5)";3033;
0805053;"Słubice (3)";20037;
0805054;"Słubice - miasto (4)";16255;
0805055;"Słubice - obszar wiejski (5)";3782;
0806000;"Powiat strzelecko-drezdenecki";46658;
0806013;"Dobiegniew (3)";6159;
0806014;"Dobiegniew - miasto (4)";2985;
0806015;"Dobiegniew - obszar wiejski (5)";3174;
0806023;"Drezdenko (3)";16315;
0806024;"Drezdenko - miasto (4)";9455;
0806025;"Drezdenko - obszar wiejski (5)";6860;
0806032;"Stare Kurowo (2)";3922;
0806043;"Strzelce Krajeńskie (3)";16129;
0806044;"Strzelce Krajeńskie - miasto (4)";9705;
0806045;"Strzelce Krajeńskie - obszar wiejski (5)";6424;
0806052;"Zwierzyn (2)";4133;
0807000;"Powiat sulęciński";33495;
0807012;"Krzeszyce (2)";4583;
0807023;"Lubniewice (3)";3041;
0807024;"Lubniewice - miasto (4)";2004;
0807025;"Lubniewice - obszar wiejski (5)";1037;
0807032;"Słońsk (2)";4613;
0807043;"Sulęcin (3)";15028;
0807044;"Sulęcin - miasto (4)";9738;
0807045;"Sulęcin - obszar wiejski (5)";5290;
0807053;"Torzym (3)";6230;
0807054;"Torzym - miasto (4)";2391;
0807055;"Torzym - obszar wiejski (5)";3839;
0808000;"Powiat świebodziński";53961;
0808012;"Lubrza (2)";3581;
0808022;"Łagów (2)";4727;
0808032;"Skąpe (2)";5014;
0808042;"Szczaniec (2)";3646;
0808053;"Świebodzin (3)";28909;
0808054;"Świebodzin - miasto (4)";20778;
0808055;"Świebodzin - obszar wiejski (5)";8131;
0808063;"Zbąszynek (3)";8084;
0808064;"Zbąszynek - miasto (4)";4898;
0808065;"Zbąszynek - obszar wiejski (5)";3186;
0809000;"Powiat zielonogórski";75077;
0809013;"Babimost (3)";6062;
0809014;"Babimost - miasto (4)";3818;
0809015;"Babimost - obszar wiejski (5)";2244;
0809022;"Bojadła (2)";3165;
0809033;"Czerwieńsk (3)";10131;
0809034;"Czerwieńsk - miasto (4)";3776;
0809035;"Czerwieńsk - obszar wiejski (5)";6355;
0809043;"Kargowa (3)";5923;
0809044;"Kargowa - miasto (4)";3827;
0809045;"Kargowa - obszar wiejski (5)";2096;
0809053;"Nowogród Bobrzański (3)";8998;
0809054;"Nowogród Bobrzański - miasto (4)";4767;
0809055;"Nowogród Bobrzański - obszar wiejski (5)";4231;
0809063;"Sulechów (3)";25982;
0809064;"Sulechów - miasto (4)";15467;
0809065;"Sulechów - obszar wiejski (5)";10515;
0809072;"Świdnica (2)";6916;
0809082;"Trzebiechów (2)";3159;
0809092;"Zabór (2)";4741;
0810000;"Powiat żagański";73604;
0810011;"Gozdnica (1)";2726;
0810021;"Żagań (1)";23462;
0810032;"Brzeźnica (2)";3461;
0810043;"Iłowa (3)";6351;
0810044;"Iłowa - miasto (4)";3593;
0810045;"Iłowa - obszar wiejski (5)";2758;
0810053;"Małomice (3)";5143;
0810054;"Małomice - miasto (4)";3420;
0810055;"Małomice - obszar wiejski (5)";1723;
0810062;"Niegosławice (2)";4250;
0810073;"Szprotawa (3)";18973;
0810074;"Szprotawa - miasto (4)";10554;
0810075;"Szprotawa - obszar wiejski (5)";8419;
0810082;"Wymiarki (2)";2079;
0810092;"Żagań (2)";7159;
0811000;"Powiat żarski";91210;
0811011;"Łęknica (1)";2238;
0811021;"Żary (1)";34837;
0811032;"Brody (2)";3129;
0811043;"Jasień (3)";6695;
0811044;"Jasień - miasto (4)";4037;
0811045;"Jasień - obszar wiejski (5)";2658;
0811052;"Lipinki Łużyckie (2)";3241;
0811063;"Lubsko (3)";17243;
0811064;"Lubsko - miasto (4)";12858;
0811065;"Lubsko - obszar wiejski (5)";4385;
0811072;"Przewóz (2)";3001;
0811082;"Trzebiel (2)";5463;
0811092;"Tuplice (2)";2888;
0811102;"Żary (2)";12475;
0812000;"Powiat wschowski";37251;
0812013;"Sława (3)";12420;
0812014;"Sława - miasto (4)";4103;
0812015;"Sława - obszar wiejski (5)";8317;
0812023;"Szlichtyngowa (3)";4818;
0812024;"Szlichtyngowa - miasto (4)";1257;
0812025;"Szlichtyngowa - obszar wiejski (5)";3561;
0812033;"Wschowa (3)";20013;
0812034;"Wschowa - miasto (4)";12991;
0812035;"Wschowa - obszar wiejski (5)";7022;
0861000;"Powiat m. Gorzów Wielkopolski";115247;
0861011;"Gorzów Wielkopolski (1)";115247;
0862000;"Powiat m. Zielona Góra";138932;
0862011;"Zielona Góra (1)";138932;
1000000;"ŁÓDZKIE";2362519;
1001000;"Powiat bełchatowski";108599;
1001011;"Bełchatów (1)";52331;
1001022;"Bełchatów (2)";13105;
1001032;"Drużbice (2)";5280;
1001042;"Kleszczów (2)";6287;
1001052;"Kluki (2)";4318;
1001062;"Rusiec (2)";4770;
1001072;"Szczerców (2)";8159;
1001083;"Zelów (3)";14349;
1001084;"Zelów - miasto (4)";7059;
1001085;"Zelów - obszar wiejski (5)";7290;
1002000;"Powiat kutnowski";90671;
1002011;"Kutno (1)";40723;
1002022;"Bedlno (2)";5075;
1002033;"Dąbrowice (3)";1783;
1002034;"Dąbrowice - miasto (4)";951;
1002035;"Dąbrowice - obszar wiejski (5)";832;
1002043;"Krośniewice (3)";7720;
1002044;"Krośniewice - miasto (4)";3991;
1002045;"Krośniewice - obszar wiejski (5)";3729;
1002052;"Krzyżanów (2)";4005;
1002062;"Kutno (2)";8968;
1002072;"Łanięta (2)";2186;
1002082;"Nowe Ostrowy (2)";3200;
1002092;"Oporów (2)";2415;
1002102;"Strzelce (2)";3720;
1002113;"Żychlin (3)";10876;
1002114;"Żychlin - miasto (4)";7494;
1002115;"Żychlin - obszar wiejski (5)";3382;
1003000;"Powiat łaski";48742;
1003012;"Buczek (2)";5041;
1003023;"Łask (3)";26898;
1003024;"Łask - miasto (4)";16058;
1003025;"Łask - obszar wiejski (5)";10840;
1003032;"Sędziejowice (2)";6203;
1003042;"Widawa (2)";6863;
1003052;"Wodzierady (2)";3737;
1004000;"Powiat łęczycki";46666;
1004011;"Łęczyca (1)";13065;
1004022;"Daszyna (2)";3629;
1004032;"Góra Świętej Małgorzaty (2)";4251;
1004042;"Grabów (2)";5298;
1004052;"Łęczyca (2)";8184;
1004063;"Piątek (3)";5576;
1004064;"Piątek - miasto (4)";1551;
1004065;"Piątek - obszar wiejski (5)";4025;
1004072;"Świnice Warckie (2)";3640;
1004082;"Witonia (2)";3023;
1005000;"Powiat łowicki";74009;
1005011;"Łowicz (1)";25972;
1005022;"Bielawy (2)";5009;
1005032;"Chąśno (2)";2887;
1005042;"Domaniewice (2)";4524;
1005052;"Kiernozia (2)";3074;
1005062;"Kocierzew Południowy (2)";3981;
1005072;"Łowicz (2)";7730;
1005082;"Łyszkowice (2)";6423;
1005092;"Nieborów (2)";9220;
1005102;"Zduny (2)";5189;
1006000;"Powiat łódzki wschodni";74706;
1006022;"Andrespol (2)";14752;
1006032;"Brójce (2)";7285;
1006073;"Koluszki (3)";22799;
1006074;"Koluszki - miasto (4)";12046;
1006075;"Koluszki - obszar wiejski (5)";10753;
1006082;"Nowosolna (2)";5710;
1006103;"Rzgów (3)";11347;
1006104;"Rzgów - miasto (4)";3457;
1006105;"Rzgów - obszar wiejski (5)";7890;
1006113;"Tuszyn (3)";12813;
1006114;"Tuszyn - miasto (4)";7171;
1006115;"Tuszyn - obszar wiejski (5)";5642;
1007000;"Powiat opoczyński";71776;
1007012;"Białaczów (2)";5498;
1007023;"Drzewica (3)";9789;
1007024;"Drzewica - miasto (4)";3526;
1007025;"Drzewica - obszar wiejski (5)";6263;
1007032;"Mniszków (2)";4723;
1007043;"Opoczno (3)";31676;
1007044;"Opoczno - miasto (4)";18913;
1007045;"Opoczno - obszar wiejski (5)";12763;
1007052;"Paradyż (2)";4181;
1007062;"Poświętne (2)";2897;
1007072;"Sławno (2)";7468;
1007082;"Żarnów (2)";5544;
1008000;"Powiat pabianicki";119066;
1008011;"Konstantynów Łódzki (1)";19231;
1008021;"Pabianice (1)";60598;
1008032;"Dłutów (2)";4969;
1008042;"Dobroń (2)";8121;
1008052;"Ksawerów (2)";7665;
1008063;"Lutomiersk (3)";9482;
1008064;"Lutomiersk - miasto (4)";1574;
1008065;"Lutomiersk - obszar wiejski (5)";7908;
1008072;"Pabianice (2)";9000;
1009000;"Powiat pajęczański";48575;
1009013;"Działoszyn (3)";11475;
1009014;"Działoszyn - miasto (4)";5239;
1009015;"Działoszyn - obszar wiejski (5)";6236;
1009022;"Kiełczygłów (2)";3772;
1009032;"Nowa Brzeźnica (2)";4332;
1009043;"Pajęczno (3)";11080;
1009044;"Pajęczno - miasto (4)";6370;
1009045;"Pajęczno - obszar wiejski (5)";4710;
1009052;"Rząśnia (2)";4919;
1009062;"Siemkowice (2)";4439;
1009072;"Strzelce Wielkie (2)";4161;
1009082;"Sulmierzyce (2)";4397;
1010000;"Powiat piotrkowski";90121;
1010012;"Aleksandrów (2)";4244;
1010022;"Czarnocin (2)";4016;
1010032;"Gorzkowice (2)";8205;
1010042;"Grabica (2)";6056;
1010052;"Łęki Szlacheckie (2)";3180;
1010062;"Moszczenica (2)";12562;
1010072;"Ręczno (2)";3330;
1010083;"Rozprza (3)";12186;
1010084;"Rozprza - miasto (4)";1622;
1010085;"Rozprza - obszar wiejski (5)";10564;
1010093;"Sulejów (3)";16582;
1010094;"Sulejów - miasto (4)";5932;
1010095;"Sulejów - obszar wiejski (5)";10650;
1010102;"Wola Krzysztoporska (2)";11918;
1010113;"Wolbórz (3)";7842;
1010114;"Wolbórz - miasto (4)";2270;
1010115;"Wolbórz - obszar wiejski (5)";5572;
1011000;"Powiat poddębicki";39356;
1011012;"Dalików (2)";4018;
1011022;"Pęczniew (2)";3353;
1011033;"Poddębice (3)";14524;
1011034;"Poddębice - miasto (4)";6756;
1011035;"Poddębice - obszar wiejski (5)";7768;
1011043;"Uniejów (3)";6733;
1011044;"Uniejów - miasto (4)";2982;
1011045;"Uniejów - obszar wiejski (5)";3751;
1011052;"Wartkowice (2)";6059;
1011062;"Zadzim (2)";4669;
1012000;"Powiat radomszczański";106671;
1012011;"Radomsko (1)";42973;
1012022;"Dobryszyce (2)";4596;
1012032;"Gidle (2)";5737;
1012042;"Gomunice (2)";5641;
1012053;"Kamieńsk (3)";5539;
1012054;"Kamieńsk - miasto (4)";2599;
1012055;"Kamieńsk - obszar wiejski (5)";2940;
1012062;"Kobiele Wielkie (2)";4240;
1012072;"Kodrąb (2)";4265;
1012082;"Lgota Wielka (2)";4145;
1012092;"Ładzice (2)";4597;
1012102;"Masłowice (2)";3875;
1012113;"Przedbórz (3)";6569;
1012114;"Przedbórz - miasto (4)";3182;
1012115;"Przedbórz - obszar wiejski (5)";3387;
1012122;"Radomsko (2)";5419;
1012132;"Wielgomłyny (2)";4287;
1012142;"Żytno (2)";4788;
1013000;"Powiat rawski";46082;
1013011;"Rawa Mazowiecka (1)";15941;
1013023;"Biała Rawska (3)";10781;
1013024;"Biała Rawska - miasto (4)";3001;
1013025;"Biała Rawska - obszar wiejski (5)";7780;
1013032;"Cielądz (2)";3923;
1013042;"Rawa Mazowiecka (2)";8623;
1013052;"Regnów (2)";1702;
1013062;"Sadkowice (2)";5112;
1014000;"Powiat sieradzki";111477;
1014011;"Sieradz (1)";38729;
1014023;"Błaszki (3)";13938;
1014024;"Błaszki - miasto (4)";1987;
1014025;"Błaszki - obszar wiejski (5)";11951;
1014032;"Brąszewice (2)";4316;
1014042;"Brzeźnio (2)";6160;
1014052;"Burzenin (2)";5255;
1014062;"Goszczanów (2)";5059;
1014072;"Klonowa (2)";2741;
1014082;"Sieradz (2)";10801;
1014093;"Warta (3)";11798;
1014094;"Warta - miasto (4)";2935;
1014095;"Warta - obszar wiejski (5)";8863;
1014102;"Wróblew (2)";5897;
1014113;"Złoczew (3)";6783;
1014114;"Złoczew - miasto (4)";3403;
1014115;"Złoczew - obszar wiejski (5)";3380;
1015000;"Powiat skierniewicki";37787;
1015013;"Bolimów (3)";3889;
1015014;"Bolimów - miasto (4)";900;
1015015;"Bolimów - obszar wiejski (5)";2989;
1015022;"Głuchów (2)";5478;
1015032;"Godzianów (2)";2542;
1015042;"Kowiesy (2)";2774;
1015052;"Lipce Reymontowskie (2)";3097;
1015062;"Maków (2)";5977;
1015072;"Nowy Kawęczyn (2)";3398;
1015082;"Skierniewice (2)";8147;
1015092;"Słupia (2)";2485;
1016000;"Powiat tomaszowski";110634;
1016011;"Tomaszów Mazowiecki (1)";57438;
1016022;"Będków (2)";3142;
1016032;"Budziszewice (2)";2077;
1016042;"Czerniewice (2)";4809;
1016052;"Inowłódz (2)";3652;
1016062;"Lubochnia (2)";7163;
1016072;"Rokiciny (2)";6120;
1016082;"Rzeczyca (2)";4374;
1016092;"Tomaszów Mazowiecki (2)";11405;
1016103;"Ujazd (3)";7349;
1016104;"Ujazd - miasto (4)";1533;
1016105;"Ujazd - obszar wiejski (5)";5816;
1016112;"Żelechlinek (2)";3105;
1017000;"Powiat wieluński";72586;
1017012;"Biała (2)";5299;
1017022;"Czarnożyły (2)";4370;
1017032;"Konopnica (2)";3533;
1017042;"Mokrsko (2)";5052;
1017052;"Osjaków (2)";4637;
1017062;"Ostrówek (2)";4375;
1017072;"Pątnów (2)";6191;
1017082;"Skomlin (2)";3201;
1017093;"Wieluń (3)";29525;
1017094;"Wieluń - miasto (4)";20448;
1017095;"Wieluń - obszar wiejski (5)";9077;
1017102;"Wierzchlas (2)";6403;
1018000;"Powiat wieruszowski";41452;
1018012;"Bolesławiec (2)";3869;
1018022;"Czastary (2)";3875;
1018032;"Galewice (2)";6125;
1018043;"Lututów (3)";4549;
1018044;"Lututów - miasto (4)";2200;
1018045;"Lututów - obszar wiejski (5)";2349;
1018052;"Łubnice (2)";3852;
1018062;"Sokolniki (2)";5103;
1018073;"Wieruszów (3)";14079;
1018074;"Wieruszów - miasto (4)";8332;
1018075;"Wieruszów - obszar wiejski (5)";5747;
1019000;"Powiat zduńskowolski";63326;
1019011;"Zduńska Wola (1)";38402;
1019023;"Szadek (3)";7055;
1019024;"Szadek - miasto (4)";1761;
1019025;"Szadek - obszar wiejski (5)";5294;
1019032;"Zapolice (2)";5508;
1019042;"Zduńska Wola (2)";12361;
1020000;"Powiat zgierski";166340;
1020011;"Głowno (1)";13116;
1020021;"Ozorków (1)";18064;
1020031;"Zgierz (1)";53543;
1020043;"Aleksandrów Łódzki (3)";35110;
1020044;"Aleksandrów Łódzki - miasto (4)";22002;
1020045;"Aleksandrów Łódzki - obszar wiejski (5)";13108;
1020052;"Głowno (2)";4627;
1020062;"Ozorków (2)";7248;
1020072;"Parzęczew (2)";5284;
1020083;"Stryków (3)";13011;
1020084;"Stryków - miasto (4)";3363;
1020085;"Stryków - obszar wiejski (5)";9648;
1020092;"Zgierz (2)";16337;
1021000;"Powiat brzeziński";30159;
1021011;"Brzeziny (1)";11949;
1021022;"Brzeziny (2)";6128;
1021032;"Dmosin (2)";4365;
1021043;"Jeżów (3)";3142;
1021044;"Jeżów - miasto (4)";1254;
1021045;"Jeżów - obszar wiejski (5)";1888;
1021052;"Rogów (2)";4575;
1061000;"Powiat m. Łódź";652015;
1061011;"Łódź (1)";652015;
1062000;"Powiat m. Piotrków Trybunalski";66519;
1062011;"Piotrków Trybunalski (1)";66519;
1063000;"Powiat m. Skierniewice";45184;
1063011;"Skierniewice (1)";45184;
1200000;"MAŁOPOLSKIE";3429632;
1201000;"Powiat bocheński";106946;
1201011;"Bochnia (1)";28441;
1201022;"Bochnia (2)";20824;
1201032;"Drwinia (2)";6430;
1201042;"Lipnica Murowana (2)";5527;
1201052;"Łapanów (2)";8613;
1201063;"Nowy Wiśnicz (3)";14418;
1201064;"Nowy Wiśnicz - miasto (4)";2730;
1201065;"Nowy Wiśnicz - obszar wiejski (5)";11688;
1201072;"Rzezawa (2)";11448;
1201082;"Trzciana (2)";5716;
1201092;"Żegocina (2)";5529;
1202000;"Powiat brzeski";91670;
1202012;"Borzęcin (2)";8108;
1202023;"Brzesko (3)";35479;
1202024;"Brzesko - miasto (4)";15928;
1202025;"Brzesko - obszar wiejski (5)";19551;
1202033;"Czchów (3)";9721;
1202034;"Czchów - miasto (4)";2276;
1202035;"Czchów - obszar wiejski (5)";7445;
1202042;"Dębno (2)";14502;
1202052;"Gnojnik (2)";8113;
1202062;"Iwkowa (2)";6623;
1202072;"Szczurowa (2)";9124;
1203000;"Powiat chrzanowski";118684;
1203013;"Alwernia (3)";12354;
1203014;"Alwernia - miasto (4)";3244;
1203015;"Alwernia - obszar wiejski (5)";9110;
1203022;"Babice (2)";8985;
1203033;"Chrzanów (3)";43941;
1203034;"Chrzanów - miasto (4)";33928;
